feature_map_reps,ansatz_reps,maxiter,train_accuracy,test_accuracy
4,3,100,0.9,0.85
4,3,200,0.84375,0.825
2,1,50,0.8125,0.8
3,5,100,0.8,0.8
3,3,100,0.75625,0.8
4,5,200,0.775,0.8
4,1,100,0.79375,0.8
4,5,100,0.78125,0.8
3,2,200,0.75,0.775
1,3,100,0.7625,0.775
4,1,50,0.78125,0.775
4,2,50,0.79375,0.775
4,4,100,0.825,0.775
4,4,50,0.875,0.775
4,5,50,0.8,0.775
3,4,200,0.725,0.775
3,2,50,0.7875,0.775
3,5,200,0.7875,0.775
4,3,50,0.8625,0.775
2,1,100,0.81875,0.75
2,2,200,0.79375,0.75
2,3,50,0.75625,0.75
4,1,200,0.80625,0.75
1,4,200,0.775,0.75
4,2,200,0.76875,0.75
2,5,100,0.7625,0.75
2,4,50,0.71875,0.725
2,1,200,0.7625,0.725
4,4,200,0.8125,0.725
2,5,200,0.69375,0.725
1,3,200,0.7875,0.725
2,3,100,0.7,0.7
1,2,50,0.6625,0.7
1,4,50,0.80625,0.7
3,2,100,0.75,0.7
3,5,50,0.74375,0.7
3,4,100,0.78125,0.7
2,2,100,0.69375,0.7
1,1,50,0.7125,0.675
1,1,200,0.70625,0.675
1,5,100,0.80625,0.675
2,2,50,0.725,0.675
2,4,100,0.70625,0.675
1,1,100,0.7125,0.675
3,3,200,0.75625,0.675
3,1,50,0.63125,0.675
3,1,100,0.69375,0.675
3,4,50,0.7625,0.675
4,2,100,0.7,0.675
1,3,50,0.79375,0.65
2,3,200,0.71875,0.65
2,4,200,0.7,0.625
2,5,50,0.6875,0.625
3,3,50,0.575,0.6
3,1,200,0.65,0.575
1,2,100,0.55,0.55
1,5,200,0.66875,0.55
1,5,50,0.5875,0.525
1,2,200,0.56875,0.525
1,4,100,0.64375,0.525
